diet,D_diet,sec_defect,glucose_mM,insulin,formate_mM,formate_mgL
low,0.01,1.0,4.793615917207824,0.8218207581710004,0.017886448762293145,0.8233132365283534
low,0.01,0.9433333333333334,4.882192253132656,0.7934349723406401,0.01808669135105411,0.8325304028890208
low,0.01,0.8866666666666667,4.977146874112374,0.7641272517675661,0.01830681759055149,0.842662813693085
low,0.01,0.8300000000000001,5.0793552683125665,0.7338051864053203,0.018550312213871215,0.853870871204492
low,0.01,0.7733333333333333,5.189875980022581,0.7023610724104276,0.018821561876891796,0.8663564931933294
low,0.01,0.7166666666666667,5.310001903068753,0.6696687072848029,0.019126169079315455,0.8803775627208904
low,0.01,0.66,5.441331404571247,0.6355789663518925,0.01947141070377143,0.8962690346945991
low,0.01,0.6033333333333333,5.585867918150741,0.5999139034351035,0.019866922844332172,0.91447445852461
low,0.01,0.5466666666666666,5.746162379538786,0.562458781110793,0.02032575375846854,0.935594445502307
low,0.01,0.49,5.925521903898262,0.522951130738548,0.02086603808516363,0.9604637330600819
low,0.01,0.43333333333333335,6.128324427910178,0.48106538418810313,0.021513766180298734,0.9902786572791508
low,0.01,0.3766666666666667,6.360509123854271,0.4363907274626772,0.022307583371031545,1.026818062568582
low,0.01,0.32000000000000006,6.630371278753554,0.3883982114344127,0.0233075848107433,1.072848128838514
low,0.01,0.2633333333333334,6.949911991375956,0.336390192636924,0.024612565732082523,1.1329164006477586
low,0.01,0.20666666666666667,7.337262721501874,0.27941939907111735,0.026396830322814948,1.215046099759172
low,0.01,0.15,7.821353484827015,0.21615315121064155,0.028997560265684414,1.3347576990294536
normal,0.03,1.0,4.793615861464416,0.8218207763685538,0.034613599516501704,1.5932639857445734
normal,0.03,0.9433333333333334,4.882192195338047,0.7934349905258926,0.03501496420843127,1.6117388025140913
normal,0.03,0.8866666666666667,4.97714681424306,0.7641272698935921,0.035455456730221525,1.6320146732920968
normal,0.03,0.8300000000000001,5.079355206198234,0.7338052044618663,0.035941790729752246,1.6544006272904959
normal,0.03,0.7733333333333333,5.1898759154331024,0.7023610903949932,0.036482376207766454,1.6792837768434898
normal,0.03,0.7166666666666667,5.3100018358742345,0.6696687251584099,0.03708789338701083,1.7071557326041085
normal,0.03,0.66,5.441331334432453,0.6355789841185088,0.03777212297814958,1.7386508206842253
normal,0.03,0.6033333333333333,5.585867844815964,0.5999139210626719,0.038553171930157996,1.7746025039451727
normal,0.03,0.5466666666666666,5.746162302709192,0.5624587985622392,0.03945533243816846,1.8161289521288944
normal,0.03,0.49,5.925521823256652,0.5229511479639272,0.040511989691352564,1.8647668854929587
normal,0.03,0.43333333333333335,6.128324343042256,0.4810654011350579,0.041770336787532135,1.9226886023301042
normal,0.03,0.3766666666666667,6.360509034653902,0.4363907439990412,0.04329934739648371,1.9930689606601453
normal,0.03,0.32000000000000006,6.630371185189085,0.38839822739851254,0.04520394144959402,2.0807374249248127
normal,0.03,0.2633333333333334,6.949911893718805,0.3363902078029924,0.04765168619508772,2.193407115559888
normal,0.03,0.20666666666666667,7.337262620354409,0.2794194131622094,0.050926851911890426,2.3441629935043165
normal,0.03,0.15,7.821353383827928,0.21615316359497966,0.05554983933587554,2.556959104630351
high,0.08,1.0,4.793615697307897,0.8218208299436204,0.0952017680810132,4.382137384769038
high,0.08,0.9433333333333334,4.882192026900946,0.7934350435251175,0.09618508876401277,4.427399635807508
high,0.08,0.8866666666666667,4.977146640762023,0.7641273224166758,0.09725544396074844,4.476668085513251
high,0.08,0.8300000000000001,5.07935502734986,0.7338052564528547,0.09842655709271024,4.530574422977453
high,0.08,0.7733333333333333,5.18987573080676,0.7023611418037089,0.09971535409050694,4.589897748786035
high,0.08,0.7166666666666667,5.310001645224415,0.6696687758706308,0.10114296106208799,4.655610497687911
high,0.08,0.66,5.441331137202424,0.6355790340784236,0.10273611618844311,4.728943428154037
high,0.08,0.6033333333333333,5.585867640663846,0.5999139701347023,0.10452920008623284,4.811479079969298
high,0.08,0.5466666666666666,5.746162091286926,0.562458846585927,0.10656722555343949,4.9052893922248195
high,0.08,0.49,5.925521604296716,0.5229511947344125,0.10891036079395146,5.013143907345586
high,0.08,0.43333333333333335,6.128324116706351,0.48106544633712595,0.11164099304670415,5.138834909939792
high,0.08,0.3766666666666667,6.360508800968256,0.436390787322473,0.11487517224247151,5.287704178320964
high,0.08,0.32000000000000006,6.630370944368135,0.38839826847345355,0.11878197168775775,5.467534156787489
high,0.08,0.2633333333333334,6.949911651135063,0.3363902454841941,0.12361798008276448,5.690135623209649
high,0.08,0.20666666666666667,7.337262379118937,0.2794194467858464,0.12979273034686886,5.9743593778663735
high,0.08,0.15,7.821353150975962,0.21615319212698805,0.13800284583025085,6.352270993566447
