blood_formate_mM,blood_formate_mgL,eye_formate_mM,cox_activity,atp_adp,energy_charge,eye_ins_prod,regen,viability,vraw,vc
0.02,0.9206,0.0007845041826372,0.999999975382128,7.018255732142918,0.9244897039888594,1.6341043196671574,0.2288113956423847,0.5946726908936731,0.27592889544713317,0.8116548293430486
0.0953846153846153,4.390553846153846,0.0012623212292077,0.9999999362618088,6.63752201714061,0.9200087224799676,1.8661547812404375,0.278992531508312,0.7050311529218396,0.3399584225605721,1.0
0.1707692307692307,7.860507692307692,0.0017862028377714,0.9999998723791932,6.268472264700172,0.9151365860942126,2.111379655491456,0.3312490123428827,0.8098606076158847,0.32661979144611936,0.960763933971731
0.2461538461538461,11.330461538461538,0.002363372930379,0.9999997765787856,5.935535225807892,0.9102149852868864,2.335335814592357,0.3773260920832412,0.8898646411195296,0.26616096997332694,0.7829221231484673
0.3215384615384615,14.800415384615386,0.0030040177264024,0.9999996390352304,5.776503554471789,0.9076620940623708,2.510177523822067,0.4118028118758665,0.9522307527269552,0.21303156033238474,0.626640042414092
0.3969230769230769,18.27036923076923,0.0256533986706521,0.999973676818394,5.764503604530007,0.9074637050362482,2.6223687313755497,0.4331357748020472,1.0,0.18268072831490906,0.5373619719110206
0.4723076923076923,21.74032307692308,0.1010561685116162,0.9995916728314151,5.762547423076855,0.907431281804942,2.6222009528144268,0.4331043562630755,0.9996724143256098,0.18267746961576553,0.5373523863295869
0.5476923076923077,25.210276923076925,0.1765021800979688,0.9987554301012436,5.758269487029678,0.9073602988320622,2.621786133312853,0.4330266700378518,0.9989346886853622,0.1826825197443345,0.5373672414654913
0.6230769230769231,28.68023076923077,0.2519830726597945,0.9974666155809816,5.751681539710698,0.9072507785604768,2.6211427107816694,0.4329061538782262,0.997794940708728,0.18269094730620242,0.5373920314436434
0.6984615384615385,32.15018461538462,0.3274981978201398,0.995728124429444,5.742804705097254,0.9071028073432196,2.620272454048461,0.4327431161358186,0.9962545743722244,0.182702111374837,0.5374248709554593
0.7738461538461539,35.62013846153846,0.4030472930789786,0.9935440651030236,5.731668504200163,0.9069165220369588,2.619176487245355,0.4325377365548198,0.9943151109345272,0.18271550399114117,0.5374642658208765
0.8492307692307692,39.09009230769231,0.4786301386660547,0.990919734377704,5.718310588411111,0.906692109581204,2.6178560418634707,0.4322902072764565,0.991978522068648,0.18273055769807192,0.5375085468444715
0.9246153846153846,42.56004615384615,0.5542464958633767,0.9878615844685852,5.702776438346379,0.906429807054199,2.6163125932444427,0.4320007586326269,0.9892473032041896,0.18274661357066102,0.53755577577461
1.0,46.03,0.6298960891776426,0.984377182709262,5.685119005490761,0.9061299017527218,2.6145479010909014,0.4316696670235986,0.986124507873118,0.1827629148645128,0.5376037266202722
1.2,55.236,0.8307576028511121,0.9731353077133854,5.628454830466245,0.9051547082722464,2.6088103957835234,0.430592074047023,0.9759712334264952,0.18280064281814246,0.5377147047609092
1.7142857142857144,78.90857142857143,1.3482613123414,0.9322163642917106,5.426150011077804,0.9015061864691865,2.5873655308020966,0.4265492551917005,0.9380492903671154,0.18273302112678405,0.5375157931091575
2.2285714285714286,102.58114285714286,1.867029238694326,0.8776303140132975,5.165959425314476,0.8963927750853168,2.5574148623886845,0.4208632388276903,0.8853243979930918,0.18208221297785296,0.5356014173921826
2.742857142857143,126.2537142857143,2.3867477968347495,0.8144233715656619,4.878517377373079,0.8901106929017238,2.520893638033499,0.4138680665397614,0.821789029695566,0.18040482312654768,0.5306673144549141
3.257142857142857,149.9262857142857,2.9070370422589003,0.7473648431670695,4.5896420872331065,0.8830095083493525,2.4801313767995907,0.4059818281811689,0.7524023007963905,0.17738929993548241,0.5217970438837298
