scenario,glucose_mM,insulin,formate_mM,formate_mgL,urate_mM,urate_mgdL,formate_vs_healthy_%,urate_vs_healthy_%
"lean, non-diabetic",4.793596988284325,0.8218178242266004,0.031689459469681436,1.4586658193894366,0.20448131175554676,3.435286037493186,0.0,0.0
"obese, non-diabetic",4.868672023963062,0.8381529822348538,0.027147554713266575,1.2496019434516605,0.21224084555587758,3.5656462053387434,-14.332540953436846,3.7947398389184706
"lean, diabetic",6.2608518569574345,0.4551507920691368,0.03830588724933148,1.7632199900867283,0.20543034792307693,3.451229845107693,20.87895436014062,0.4641187790621837
"obese, diabetic",5.665901699311053,0.4046469308939288,0.033195765539847384,1.5280010877991752,0.2150509497644455,3.6128559560426847,4.753334690378952,5.168999513038397
