blood_formate_mM,blood_formate_mgL,eye_ins_prod,maintenance,pathology,retinal_health
0.02,0.9206000000000001,1.6341043213593414,0.440976364557937,0.11396291618046532,0.32701344837747165
0.08533333333333333,3.9278933333333335,1.8334373354892497,0.6114439065844042,0.20419162103675295,0.40725228554765125
0.15066666666666664,6.935186666666666,2.0470329667565714,0.7529817856786684,0.3320104093123674,0.42097137636630094
0.21599999999999997,9.942479999999998,2.2497218257321836,0.8430461577603499,0.4668946828167136,0.37615147494363627
0.2813333333333333,12.949773333333333,2.4249049566761416,0.8938784317796941,0.5786659169129633,0.31521251486673074
0.3466666666666667,15.957066666666668,2.5618136435630063,0.9213275991582552,0.6562975678522649,0.26503003130599034
0.412,18.96436,2.622393880435859,0.9309102229437689,0.6872020362708141,0.2437081866729548
0.4773333333333333,21.971653333333332,2.622405131991283,0.9309118786440899,0.6872075699148874,0.24370430872920246
0.5426666666666666,24.978946666666666,2.622407627316785,0.9309122458328255,0.6872087971341615,0.243703448698664
0.608,27.98624,2.622408724641856,0.9309124073042255,0.6872093368054312,0.24370307049879436
0.6733333333333333,30.993533333333335,2.6224093417181846,0.9309124981068331,0.6872096402870715,0.24370285781976153
0.7386666666666666,34.00082666666666,2.6224097372153543,0.9309125563040606,0.6872098347947021,0.24370272150935846
0.8039999999999999,37.00812,2.6224100123139014,0.9309125967846539,0.6872099700895877,0.24370262669506615
0.8693333333333333,40.015413333333335,2.622410214729172,0.930912626569928,0.6872100696384333,0.24370255693149467
0.9346666666666665,43.022706666666664,2.6224103699051557,0.9309126494039626,0.6872101459547438,0.24370250344921873
1.0,46.03,2.6224104926507272,0.9309126674658793,0.6872102063216079,0.2437024611442714
1.2,55.236,2.6224107475876597,0.9309127049796369,0.6872103317007917,0.24370237327884514
1.6695652173913043,76.85008695652174,2.6224110366128337,0.9309127475094235,0.6872104738446854,0.24370227366473818
2.139130434782609,98.46417391304348,2.622411171795786,0.9309127674014599,0.687210540328258,0.24370222707320188
2.608695652173913,120.07826086956523,2.622411250148369,0.9309127789309612,0.6872105788623991,0.24370220006856214
3.0782608695652174,141.69234782608697,2.6224113012830563,0.9309127864553763,0.6872106040106586,0.24370218244471775
3.5478260869565217,163.3064347826087,2.622411337283383,0.9309127917527857,0.6872106217157735,0.24370217003701222
4.017391304347826,184.92052173913044,2.622411364002172,0.9309127956844265,0.6872106348561878,0.2437021608282387
4.48695652173913,206.53460869565217,2.6224113846189745,0.9309127987181665,0.6872106449956189,0.24370215372254755
4.956521739130435,228.1486956521739,2.622411401009915,0.9309128011300754,0.687210653056753,0.24370214807332236
5.42608695652174,249.7627826086957,2.6224114143534845,0.9309128030935668,0.6872106596191768,0.24370214347439
5.895652173913044,271.3768695652174,2.6224114254272486,0.930912804723059,0.6872106650653008,0.24370213965775822
6.365217391304348,292.9909565217392,2.6224114347649503,0.9309128060970914,0.6872106696576219,0.24370213643946947
6.834782608695653,314.6050434782609,2.622411442745183,0.9309128072713737,0.6872106735823338,0.24370213368903992
7.304347826086957,336.21913043478264,2.622411449643889,0.9309128082865106,0.6872106769751464,0.2437021313113642
7.773913043478261,357.8332173913044,2.6224114556669775,0.9309128091728014,0.6872106799373268,0.24370212923547463
8.243478260869566,379.4473043478261,2.622411460971218,0.9309128099533144,0.6872106825459746,0.24370212740733976
8.71304347826087,401.06139130434786,2.622411465678041,0.9309128106459181,0.6872106848608098,0.2437021257851083
9.182608695652174,422.67547826086957,2.622411469883004,0.9309128112646737,0.6872106869288283,0.24370212433584548
9.652173913043478,444.2895652173913,2.622411473662311,0.9309128118207944,0.6872106887875074,0.2437021230332871
10.121739130434783,465.9036521739131,2.6224114770774736,0.9309128123233318,0.6872106904670985,0.2437021218562333
10.591304347826087,487.5177391304348,2.6224114801787057,0.9309128127796745,0.6872106919922975,0.24370212078737707
11.060869565217391,509.13182608695655,2.622411483007392,0.9309128131959126,0.6872106933834572,0.24370211981245538
11.530434782608696,530.7459130434783,2.622411485597949,0.9309128135771101,0.687210694657504,0.24370211891960614
12.0,552.36,2.6224114879792277,0.9309128139275126,0.6872106958286268,0.24370211809888576
