blood_formate_mM,blood_formate_mgL,eye_formate_mM,cox_activity,atp_adp,energy_charge,eye_ins_prod,regen,viability
0.02,0.9206000000000001,0.0007845041826372318,0.9999999753821281,7.018255732142918,0.9244897039888594,1.6341043196671574,0.22881139564238479,0.5946726908936731
0.09538461538461539,4.390553846153846,0.001262321229207708,0.9999999362618087,6.63752201714061,0.9200087224799675,1.8661547812404375,0.27899253150831205,0.7050311529218396
0.17076923076923076,7.860507692307692,0.0017862028377714269,0.9999998723791933,6.268472264700172,0.9151365860942126,2.111379655491456,0.3312490123428827,0.8098606076158847
0.24615384615384614,11.330461538461538,0.0023633729303790315,0.9999997765787856,5.935535225807892,0.9102149852868864,2.335335814592357,0.37732609208324125,0.8898646411195296
0.32153846153846155,14.800415384615386,0.003004017726402438,0.9999996390352304,5.776503554471789,0.9076620940623709,2.510177523822067,0.41180281187586654,0.9522307527269551
0.39692307692307693,18.27036923076923,0.02565339867065211,0.999973676818394,5.764503604530007,0.9074637050362482,2.6223687313755497,0.43313577480204724,1.0
0.4723076923076923,21.74032307692308,0.1010561685116162,0.9995916728314153,5.762547423076855,0.907431281804942,2.6222009528144268,0.43310435626307553,0.9996724143256098
0.5476923076923077,25.210276923076925,0.17650218009796884,0.9987554301012435,5.758269487029678,0.9073602988320622,2.621786133312853,0.43302667003785184,0.9989346886853622
0.6230769230769231,28.68023076923077,0.2519830726597945,0.9974666155809815,5.751681539710698,0.9072507785604769,2.6211427107816694,0.43290615387822623,0.997794940708728
0.6984615384615385,32.15018461538462,0.3274981978201398,0.9957281244294439,5.742804705097254,0.9071028073432195,2.620272454048461,0.4327431161358186,0.9962545743722243
0.7738461538461539,35.62013846153846,0.40304729307897863,0.9935440651030235,5.731668504200163,0.9069165220369588,2.619176487245355,0.4325377365548198,0.9943151109345271
0.8492307692307692,39.09009230769231,0.4786301386660547,0.9909197343777041,5.718310588411111,0.906692109581204,2.6178560418634707,0.4322902072764565,0.991978522068648
0.9246153846153846,42.56004615384615,0.5542464958633767,0.9878615844685853,5.702776438346379,0.906429807054199,2.6163125932444427,0.43200075863262694,0.9892473032041895
1.0,46.03,0.6298960891776426,0.984377182709262,5.685119005490761,0.9061299017527218,2.6145479010909014,0.43166966702359866,0.9861245078731181
1.2,55.236,0.8307576028511121,0.9731353077133854,5.628454830466245,0.9051547082722463,2.6088103957835234,0.43059207404702304,0.9759712334264952
1.7142857142857144,78.90857142857143,1.3482613123414,0.9322163642917106,5.426150011077804,0.9015061864691865,2.5873655308020966,0.4265492551917005,0.9380492903671154
2.2285714285714286,102.58114285714286,1.867029238694326,0.8776303140132975,5.165959425314476,0.8963927750853168,2.5574148623886845,0.42086323882769033,0.8853243979930918
