cond,Ip,Fb,eye
"lean, non-diabetic",0.8218178242266004,1.4586658193894366,1.8541454649080276
"obese, non-diabetic",0.8381529822348538,1.2496019434516603,1.8804440905971465
"lean, diabetic",0.4551507920691368,1.7632199900867285,2.4493003833335667
"obese, diabetic",0.4046469308939288,1.5280010877991752,2.208100701030869
