mgL,blood,unreg,reg
0.09206,1.5864171918742063,2.6224111075241705,1.9115225312707
0.988644347826087,1.6382035685242355,2.622411120429957,1.9283098889773786
1.8852286956521742,1.6944193347052554,2.6224111288113847,1.9471173365351953
2.781813043478261,1.75399416382115,2.6224111351947554,1.9684144702420499
3.6783973913043484,1.8159161802276114,2.622411140662344,1.9927509347678733
4.574981739130435,1.8792584451624283,2.622411145676294,2.020722162718957
5.471566086956522,1.943195749883813,2.6224111504352647,2.0528768138819316
6.368150434782609,2.007012818334042,2.622411155025811,2.089554578961861
7.264734782608697,2.07010521040319,2.6224111594867416,2.1306884985697367
8.161319130434784,2.131973911814129,2.622411163836491,2.175689187175841
9.05790347826087,2.1922132975955395,2.6224111680847484,2.223520435752943
9.954487826086957,2.250487959789069,2.6224111722374017,2.272931746300527
10.851072173913044,2.3064791143779018,2.622411176298622,2.322667567578103
11.747656521739131,2.359726736179207,2.622411180271788,2.3714492750148666
12.644240869565218,2.4092001660014177,2.622411184160167,2.417607766145622
13.540825217391307,2.45355607481115,2.6224111879662946,2.4596818275058325
14.437409565217393,2.4941455343554524,2.6224111916928328,2.4989842827096647
15.33399391304348,2.533773785155889,2.622411195342278,2.537852192107967
16.230578260869567,2.5743854459894235,2.6224111989170082,2.577944601876916
17.127162608695656,2.6163405136674265,2.6224112024192956,2.6191746658405273
18.02374695652174,2.622372414422884,2.6224112058513205,2.622375375528085
18.92033130434783,2.6223934147741983,2.6224112092151763,2.622394071426771
19.816915652173915,2.6223997479662353,2.6224112125128727,2.6224000246338934
20.7135,2.622402802147661,2.622411215746343,2.6224029536716675
