blood_formate_mM,blood_formate_mgL,eye_ins_prod,eye_mtor,regen
0.005,0.23015000000000002,1.594060841188937,0.04261311820087815,0.2201735870218992
0.015263157894736843,0.7025631578947369,1.6211463237540487,0.04941293454693093,0.22601387343803095
0.025526315789473685,1.1749763157894737,1.649558022090027,0.05654569765350206,0.23215015740574396
0.035789473684210524,1.6473894736842105,1.6791362807424997,0.06397132598371039,0.23854638280037066
0.046052631578947366,2.1198026315789473,1.7097238663813208,0.071650346075494,0.24516627753606454
0.05631578947368421,2.592215789473684,1.7411674739193108,0.07954427065304956,0.251973802529389
0.06657894736842106,3.0646289473684214,1.7733190087327881,0.08761592052858003,0.25893357469946104
0.0768421052631579,3.5370421052631587,1.8060366481248176,0.0958296910828748,0.26601125341658016
0.08710526315789474,4.0094552631578955,1.8391856893310103,0.10415176515735294,0.2731738816717143
0.09736842105263158,4.481868421052631,1.872639194923037,0.11255027508275628,0.28039017557635687
0.10763157894736843,4.954281578947369,1.9062784491489873,0.12099541724349736,0.28763075830721846
0.11789473684210527,5.426694736842106,1.9399932403858313,0.12945952298741148,0.2948683370154547
0.1281578947368421,5.899107894736843,1.97368198531102,0.1379170897990646,0.30207782330436084
0.13842105263157894,6.371521052631579,2.007251709401336,0.14634477640398558,0.30923639945921755
0.1486842105263158,6.843934210526317,2.040617895517921,0.1547213647559034,0.31632353351959497
0.15894736842105264,7.316347368421053,2.073704206792482,0.16302769046726978,0.3233209463136327
0.16921052631578948,7.78876052631579,2.10644208009657,0.17124654074963033,0.3302125323940274
0.1794736842105263,8.261173684210526,2.138770168620189,0.1793625144728638,0.3369842337842539
0.18973684210526315,8.733586842105263,2.1706335794802416,0.18736183076661375,0.34362385923708527
0.2,9.206000000000001,2.201982790141035,0.19523205698741938,0.3501208295249283
