f_mito,form_in,Ppool,mtor,v_ins_syn,v_sec,ins,urate,v_urate_sec,max_residual
0.5,0.3779902809853565,0.14284939345885989,0.3541781951349217,4.4337689135707645,4.4179386763757735,2.3233837794230516,0.03472787595702141,0.10418362787106424,1.2694055875894783e-14
0.475,0.33799039687799093,0.14284936404377316,0.35417813480838,4.433768537775484,4.417938301936049,2.3233835791810575,0.034727870601250856,0.10418361180375257,6.984159344608498e-14
0.45,0.2979905442849201,0.1428493266299399,0.35417805807741903,4.433768059791295,4.417937825676028,2.323383324487811,0.03472786378910271,0.10418359136730813,1.791264619271926e-14
0.425,0.25799073808316675,0.14284927744137937,0.3541779571979657,4.433767431377641,4.417937199529167,2.323382989638418,0.034727854833063176,0.10418356449918953,3.607444204467569e-14
0.4,0.21799100426236798,0.14284920988158206,0.3541778186413763,4.433766568259833,4.417936339524765,2.323382529727208,0.034727842532068294,0.10418352759620489,7.643571105914182e-14
0.375,0.1779913926830678,0.14284911129529376,0.3541776164532249,4.433765308758607,4.417935084566773,2.3233818586035864,0.034727824581903766,0.1041834737457113,6.391740435540694e-14
0.35,0.13799201265078392,0.14284895393936317,0.3541772937354962,4.433763298436183,4.417933081495911,2.3233807874057884,0.03472779593121544,0.1041833877936463,1.3012594474171024e-14
0.32499999999999996,0.09799315911707651,0.14284866295132287,0.354176696953429,4.433759580870443,4.417929377340049,2.3233788065053376,0.034727742949364,0.104183228848092,4.2044384467032625e-14
0.3,0.057995997565120236,0.1428479425170464,0.35417521942087365,4.433750376799626,4.41792020646985,2.323373902126196,0.03472761177575586,0.10418283532726758,3.2127078775090467e-15
0.275,0.01801479350886274,0.14284317189289425,0.354165435135433,4.433689427038644,4.41785947656495,2.3233414250755056,0.03472674315965691,0.10418022947897074,9.107623509529983e-15
0.25,0.0035551416320414014,0.13655013789090967,0.3408715568949928,4.350877176091112,4.335346256216481,2.2791398791181248,0.0335787087102425,0.10073612613072751,6.2085753205209926e-15
0.22499999999999998,0.003170532275038577,0.1278781028656648,0.32125197695704166,4.228659900746712,4.213572568237604,2.2133614995797006,0.03198185414439729,0.09594556243319187,8.87896527135279e-15
0.19999999999999996,0.0028130160884577743,0.11965333477006816,0.3012201890375349,4.103874836665741,4.0892504587213,2.1437897346831103,0.030405515671632036,0.09121654701489611,3.4004700097400864e-14
0.175,0.002475730598501856,0.11008184777267388,0.27619219254582955,3.947966629241355,3.933971927210455,2.0445648382925907,0.028250493316278293,0.08475147994883488,2.0554087945545696e-14
0.14999999999999997,0.0021565167431921023,0.09867581925737776,0.24397715179271887,3.747287791141565,3.734139647341969,1.9081910308014005,0.025360535235618806,0.07608160570685642,1.609151180359536e-14
0.125,0.001853832944475593,0.08692344438527,0.20828278141504328,3.5249349830544356,3.512704858570486,1.7618811994032566,0.022332093118784414,0.06699627935635324,6.481946056291488e-14
0.09999999999999998,0.0015663772374261695,0.07511898204124023,0.17052421528128864,3.289723572393586,3.2784374706404646,1.6136108044186857,0.019285107361860336,0.05785532208558101,2.107629392192334e-14
0.07499999999999996,0.0012930037511999315,0.06330774012945498,0.13196805821073182,3.0495436867988364,3.0391956979587134,1.4684126269950046,0.01623917674165475,0.04871753022496425,9.901259499789372e-15
0.04999999999999999,0.0010326873822247666,0.051504522701494776,0.09435071820549419,2.8152120234460005,2.805755454669795,1.3324740296914652,0.01320064403780844,0.03960193211342532,1.4756208407962212e-14
0.024999999999999967,0.0007845039650470907,0.039722090874065585,0.05992741661415215,2.600777150622128,2.5921113663221047,1.2140649086358497,0.01017403853369221,0.03052211560107663,5.8195364759788815e-15
0.0,0.0005476165849621809,0.027981205900949782,0.031299223168689966,2.4224420480357187,2.4143928526050784,1.1254461661434534,0.0071655652626533735,0.02149669578796012,3.0938793194046355e-15
