scenario,fasting_Gb,peak_Gb,Gb_2h,glucose_AUC,insulin_AUC,peak_Ip,dGlucoseAUC_%,dInsulinAUC_%
baseline (formate-deficient),5.053259703088029,13.0,4.876804232209116,3.321079168527016,3.085787225415026,2.642712970775437,0.0,0.0
central (beta-cell formate),4.758860995104135,13.0,4.504867892475591,2.628531606959359,3.7120565704894455,4.2896395975850705,-20.853088000152063,20.29528607534463
"peripheral (Carpene, Sg up)",5.040767852440014,13.0,4.914108334992794,2.84570650395693,3.0270899263734425,2.6151412232521585,-14.313801040187979,-1.902182320224266
both,4.780368968728716,13.0,4.6252211037420015,2.324876942452672,3.6913742807849173,4.241275401064573,-29.996340813404498,19.625042529899073
