blood_formate_mM,blood_formate_mgL,eye_formate_mM,cox_activity,atp_adp,energy_charge,eye_ins_prod,regen,viability
0.02,0.9206000000000001,0.0007845041826372178,1.0,7.018255854763989,0.9244897053537294,1.6341043213593414,0.22881139600784156,0.5946513820208642
0.09538461538461539,4.390553846153846,0.001262321229207365,1.0,6.637522340778666,0.9200087265136403,1.8661547910703036,0.27899253362746484,0.7050059065541445
0.17076923076923076,7.860507692307692,0.001786202837766677,1.0,6.268472916862388,0.9151365952197736,2.1113796872389847,0.33124901900469844,0.809831648419398
0.24615384615384614,11.330461538461538,0.00236337293031317,1.0,5.935536365667177,0.9102150030935745,2.3353358889930087,0.37732610705369274,0.8898329013795044
0.32153846153846155,14.800415384615386,0.0030040177246479036,1.0,5.776505404575491,0.9076621245889207,2.5101776526848507,0.4118028367452668,0.9521969077427808
0.39692307692307693,18.27036923076923,0.025651426822825143,1.0,5.764638338764311,0.9074659374087146,2.6223818672540666,0.4331382345899971,0.9999873956224511
0.4723076923076923,21.74032307692308,0.10102555486990203,1.0,5.76463714330929,0.9074659176042957,2.622404801583871,0.433142529186952,0.9999971547725702
0.5476923076923077,25.210276923076925,0.17640882603833952,1.0,5.7646369901006205,0.9074659150661748,2.622407741164945,0.4331430796399373,0.9999984056377414
0.6230769230769231,28.68023076923077,0.25179291339857984,1.0,5.764636929919662,0.9074659140691911,2.62240889586605,0.43314329586404915,0.9999988969917549
0.6984615384615385,32.15018461538462,0.3271772467036314,1.0,5.764636897770255,0.90746591353659,2.622409512726498,0.43314341137452095,0.9999991594811682
0.7738461538461539,35.62013846153846,0.40256168657784064,1.0,5.764636877766924,0.9074659132052063,2.6224098965380147,0.43314348324530366,0.99999932280247
0.8492307692307692,39.09009230769231,0.4779461822241526,1.0,5.764636864123432,0.9074659129791824,2.622410158384824,0.4331435322775306,0.9999994342251927
0.9246153846153846,42.56004615384615,0.5533307107035678,1.0,5.764636854215384,0.9074659128150414,2.6224103484321866,0.4331435678649219,0.999999515094615
1.0,46.03,0.6287152601393634,1.0,5.764636846701594,0.9074659126905645,2.622410492650627,0.43314359487059956,0.9999995764634476
1.2,55.236,0.8287151435611256,1.0,5.764636833412526,0.9074659124704121,2.6224107475876597,0.4331436426089258,0.9999996849451284
1.7142857142857144,78.90857142857143,1.3430007179258998,1.0,5.764636817465596,0.9074659122062285,2.6224110535707523,0.4331436999058959,0.9999998151484847
2.2285714285714286,102.58114285714286,1.8572863699252111,1.0,5.764636810367256,0.9074659120886343,2.622411189780333,0.4331437254118666,0.9999998731090836
2.742857142857143,126.2537142857143,2.371572048978466,1.0,5.764636806352536,0.9074659120221247,2.6224112668275428,0.43314373983936727,0.9999999058946675
3.257142857142857,149.9262857142857,2.8858577406044925,1.0,5.764636803768762,0.9074659119793207,2.6224113163805636,0.4331437491184344,0.9999999269805395
3.7714285714285714,173.59885714285716,3.400143439092262,1.0,5.764636801968264,0.9074659119494929,2.622411350927947,0.43314375558761586,0.9999999416813028
4.2857142857142865,197.2714285714286,3.9144291417348693,1.0,5.764636800641293,0.9074659119275097,2.622411376389417,0.43314376035541163,0.9999999525157858
4.800000000000001,220.94400000000005,4.428714847083727,1.0,5.764636799622755,0.9074659119106362,2.622411395932782,0.4331437640150107,0.9999999608319691
5.314285714285715,244.61657142857146,4.943000554293524,1.0,5.7646367988165785,0.9074659118972807,2.622411411406553,0.4331437669125566,0.9999999674164748
5.828571428571429,268.2891428571429,5.457286262837833,1.0,5.764636798162177,0.9074659118864398,2.622411423962023,0.43314376926363524,0.9999999727591301
6.342857142857143,291.9617142857143,5.971571972371646,1.0,5.7646367976205655,0.9074659118774671,2.622411434353614,0.43314377120951586,0.9999999771810034
6.857142857142858,315.63428571428574,6.485857682659456,1.0,5.764636797164892,0.9074659118699182,2.6224114430963494,0.43314377284663963,0.999999980901249
7.371428571428573,339.3068571428572,7.000143393534999,1.0,5.764636796776082,0.9074659118634769,2.6224114505538285,0.4331437742430922,0.9999999840745702
7.885714285714287,362.9794285714286,7.514429104877536,1.0,5.764636796440645,0.9074659118579199,2.6224114569900507,0.43314377544830907,0.9999999868133413
8.4,386.65200000000004,8.02871481659729,1.0,5.764636796148202,0.9074659118530751,2.6224114626013604,0.4331437764990566,0.9999999892010919
8.914285714285715,410.32457142857146,8.543000528626106,1.0,5.764636795891069,0.9074659118488154,2.6224114675367933,0.4331437774232427,0.9999999913012515
9.428571428571429,433.9971428571429,9.057286240911326,1.0,5.764636795663062,0.9074659118450381,2.622411471911531,0.43314377824243555,0.9999999931628086
9.942857142857143,457.6697142857143,9.5715719534116,1.0,5.764636795459568,0.907465911841667,2.622411475815983,0.433143778973565,0.9999999948242484
10.457142857142857,481.3422857142857,10.08585766609402,1.0,5.764636795276771,0.9074659118386388,2.6224114793221176,0.43314377963010736,0.9999999963161863
10.971428571428572,505.0148571428572,10.600143378932067,1.0,5.76463679511178,0.9074659118359053,2.622411482487924,0.43314378022292144,0.999999997663315
11.485714285714286,528.6874285714285,11.114429091904121,1.0,5.7646367949621125,0.907465911833426,2.6224114853606615,0.43314378076085674,0.9999999988857419
12.0,552.36,11.628714804992413,1.0,5.76463679482559,0.9074659118311642,2.6224114879792286,0.43314378125119735,1.0
