mgL,ins_b,ins_r,h_b,h_r
0.9206000000000001,1.6341043213593414,1.9269704093017497,0.32701344837747165,0.4226247781475805
0.9982456861156818,1.6387840532352378,1.9284998799921587,0.3295033395503445,0.42275045041839066
1.0824402018776538,1.6438958882141599,1.9301754640672675,0.33219772236185574,0.4228835661996244
1.1737358918124656,1.6494818239791713,1.9320128928073839,0.335110728767097,0.42302406421583827
1.2727316865532656,1.6555880987984406,1.9340299505733605,0.3382565348227575,0.423171713564646
1.3800770320275182,1.6622655975019214,1.9362468070070595,0.3416490000815595,0.42332605491077097
1.49647615004215,1.669570280762853,1.9386864228833187,0.34530117209774147,0.4234863238807542
1.6226926582170103,1.677563632919524,1.9413750434652213,0.3492246185168929,0.4236513503699007
1.7595545795749714,1.6863131209269502,1.9443427941808922,0.35342854141826496,0.4238194251711513
1.9079597746532775,1.6958926535944476,1.9476244179765072,0.3579186204402269,0.4239881234707715
2.0688818317726296,1.7063830258836958,1.9512601741341233,0.36269552364101587,0.4241540688269885
2.243376454106167,1.7178723275459742,1.9552969552074495,0.3677530195923786,0.4243126169100912
2.4325883854496797,1.7304562886064971,1.9597896724985562,0.37307562341582023,0.4244574286916025
2.637758920128453,1.7442385260270363,1.9648029789043688,0.3786357172326641,0.4245798911609909
2.8602340463082627,1.75933064622766,1.9704134210659054,0.3843901073987842,0.4246683270130942
3.101473276133419,1.7758521470701891,1.976712121642126,0.39027602447162346,0.42470691094651847
3.3630592206205234,1.793930050627111,1.9838081131975391,0.3962066464775175,0.4246741783552481
3.646707972122535,1.8136981850761698,1.9918324416435347,0.4020663420109579,0.424540969915538
3.9542803624755445,1.8352960212432727,2.000943141616769,0.4077059959846362,0.4242676038281069
4.287794170685602,1.8588669580200898,2.0113310711314516,0.41293900081104806,0.42380001389213656
4.649437360242091,1.88455594304003,2.023226407004045,0.4175387602268863,0.42306455825116107
5.041582432898926,1.9125063131284792,2.0369051147617987,0.42123883068182816,0.42196125077726887
5.466801993089241,1.9428557460726186,2.052693937871055,0.42373705283125895,0.42035541206853155
5.92788562508141,1.975731233837541,2.0709714427079597,0.4247051011204184,0.4180683605978302
6.427858193596219,2.0112430180439995,2.092159036249019,0.42380466711611525,0.41486940443927767
6.969999687943474,2.0494774648548275,2.116700307549211,0.4207108508566202,0.41047293549196606
7.557866739862286,2.090488870876186,2.145018869016041,0.41514217857197794,0.4045481883683171
8.195315956229326,2.134290091370371,2.1774587943390102,0.40689506639647716,0.3967492046103706
8.88652921970556,2.1808413508143185,2.2142164392624832,0.395878886273011,0.3867692114125637
9.63604112330223,2.2300344520484336,2.2552809855515368,0.38214702977959647,0.37441341325420263
10.448768718846141,2.281660783306055,2.300389162616644,0.3659221152508716,0.3596752151351358
11.330043774504276,2.335311109284411,2.3489374382346266,0.3476297008086334,0.34281413009320605
12.285647752987972,2.389971271940106,2.3995919776821872,0.32802625674542396,0.324512262685146
13.321849739905563,2.443183421173289,2.449759503831334,0.30846657119167764,0.3060366257714865
14.445447571086294,2.494501532577952,2.4993316918339583,0.2895222649362631,0.28774603943577204
15.663812428684711,2.548523044798301,2.552394708199804,0.2698117046157241,0.26841546228658675
16.98493719863102,2.6097382045989583,2.6128311326114466,0.24809078433444132,0.24701594476849498
18.41748890666868,2.6223856062117545,2.622386941490743,0.24371103847549347,0.243710578255656
19.97086557697744,2.622400415541494,2.622400664008045,0.24370593428947152,0.24370584865344047
21.65525788639354,2.6224046713585882,2.6224047632998477,0.24370446748950447,0.24370443580129753
23.4817160186997,2.6224066860496054,2.6224067309740744,0.2437037731124687,0.24370375762895546
25.462222157571667,2.622407857861237,2.622407883453417,0.24370336924006708,0.2437033604195621
27.60976909375956,2.622408622159112,2.6224086381875504,0.24370310582009225,0.24370310029579367
29.938445462193734,2.62240915853286,2.6224091692175464,0.2437029209556646,0.2437029172731241
32.46352816819954,2.6224095545770845,2.6224095620133245,0.2437027844566968,0.24370278189375338
35.20158260916805,2.622409858111361,2.622409863449647,0.2437026798418539,0.24370267800198286
38.17057134917098,2.622410097456261,2.622410101380572,0.24370259735026745,0.24370259599773159
41.38997195946205,2.622410290453507,2.6224102933905376,0.2437025308326759,0.24370252982041174
44.88090479793834,2.622410448903554,2.6224104511341437,0.24370247622197883,0.24370247545319357
48.66627156583809,2.6224105809226312,2.622410582638013,0.2437024307208686,0.24370243012965298
